"","date","week_id","median","CrI.low","CrI.upp","OR.med","OR.CrI.low","OR.CrI.upp","Group"
"97",2021-11-08,97,0.194304214872524,0.155288070345226,0.254655286484097,1.21446568528818,1.16799437719051,1.29001685797272,"HospAgg1 - SES"
"98",2021-11-15,98,0.199214336919519,0.148947815402955,0.246545023231227,1.22044352397347,1.16061242153721,1.279596793503,"HospAgg1 - SES"
"99",2021-11-22,99,0.237562302862224,0.193945430779248,0.27982507321914,1.26815400395369,1.21403003247579,1.322898381741,"HospAgg1 - SES"
"100",2021-11-29,100,0.262703461348229,0.220473112277874,0.308208858284671,1.30044103073886,1.24666640426773,1.36098521229182,"HospAgg1 - SES"
"101",2021-12-06,101,0.282505491703081,0.239315292154922,0.334426799681539,1.32644905954113,1.27037901398371,1.39713931495727,"HospAgg1 - SES"
"102",2021-12-13,102,0.264820722224458,0.213657223474156,0.323077775619755,1.30319732051768,1.23819815678114,1.38137278385212,"HospAgg1 - SES"
"103",2021-12-20,103,0.264357867374583,0.202431275344761,0.318154800869086,1.30259426889099,1.22437593741625,1.3745890323354,"HospAgg1 - SES"
"104",2021-12-27,104,0.247959475279235,0.175377476524958,0.317574128270528,1.28140800244032,1.19169596897471,1.37379107784762,"HospAgg1 - SES"
"105",2020-01-06,1,-0.0310849625636628,-0.25094596829134,0.163304034994535,0.969393207444976,0.778064410572778,1.17739460443853,"HospAgg5 - SES"
"106",2020-01-13,2,-0.0365313369915437,-0.242309816605775,0.133068470546513,0.964127880555689,0.784812991784997,1.14232821149015,"HospAgg5 - SES"
"107",2020-01-20,3,-0.0211660301904487,-0.215401755037717,0.121612109320476,0.979056398154121,0.806217473172654,1.12931596567403,"HospAgg5 - SES"
"108",2020-01-27,4,-0.0374223959848884,-0.203591869893912,0.0949929087716726,0.963269168375408,0.815795253856455,1.09965105722173,"HospAgg5 - SES"
"109",2020-02-03,5,-0.0350682012621746,-0.217409516112297,0.0915045486675242,0.965539562995078,0.804600404998853,1.09582176121006,"HospAgg5 - SES"
"110",2020-02-10,6,-0.0389736017856937,-0.201365308099471,0.0973638227727505,0.961776097982805,0.81761369608652,1.10226132845115,"HospAgg5 - SES"
"111",2020-02-17,7,-0.0496961538005029,-0.225411694079014,0.0733536056062671,0.951518495860591,0.798187542021893,1.07611098852434,"HospAgg5 - SES"
"112",2020-02-24,8,-0.0484009048285992,-0.169286661157189,0.0471810252465844,0.952751747725792,0.844266850181817,1.04831176279939,"HospAgg5 - SES"
"113",2020-03-02,9,-0.0585992124476622,-0.172717682658256,0.0275375791574203,0.943084670019605,0.841375116103872,1.02792024275807,"HospAgg5 - SES"
"114",2020-03-09,10,-0.0665518789769675,-0.144570053749682,0.0103157151637099,0.935614375880583,0.865394286164885,1.01036910558224,"HospAgg5 - SES"
"115",2020-03-16,11,-0.0504066002354358,-0.105383384319873,0.000601125882324924,0.950842733012511,0.899979418439495,1.0006013065947,"HospAgg5 - SES"
"116",2020-03-23,12,-0.0444400973992841,-0.0793773610958674,-0.0062067086408225,0.956532897185693,0.923691293510586,0.993812513186599,"HospAgg5 - SES"
"117",2020-03-30,13,-0.0190856036886724,-0.057594055052628,0.0297461522356858,0.981095373265083,0.944033095128221,1.03019298857161,"HospAgg5 - SES"
