,day_begin,day_id,rep_id,SES_Q,case_obs_f,hosp_obs_f,case_obs_ra_f,hosp_obs_ra_f
179,2020-02-05,36,4,Q4,NA,NA,NA,NA
180,2020-02-05,36,5,Q5,NA,NA,NA,NA
181,2020-02-06,37,1,Q1,NA,NA,NA,NA
182,2020-02-06,37,2,Q2,NA,NA,NA,NA
183,2020-02-06,37,3,Q3,NA,NA,NA,NA
184,2020-02-06,37,4,Q4,NA,NA,NA,NA
185,2020-02-06,37,5,Q5,NA,NA,NA,NA
186,2020-02-07,38,1,Q1,NA,NA,NA,NA
187,2020-02-07,38,2,Q2,NA,NA,NA,NA
188,2020-02-07,38,3,Q3,NA,NA,NA,NA
189,2020-02-07,38,4,Q4,NA,NA,NA,NA
190,2020-02-07,38,5,Q5,NA,NA,NA,NA
191,2020-02-08,39,1,Q1,NA,NA,NA,NA
192,2020-02-08,39,2,Q2,NA,NA,NA,NA
193,2020-02-08,39,3,Q3,NA,NA,NA,NA
194,2020-02-08,39,4,Q4,NA,NA,NA,NA
195,2020-02-08,39,5,Q5,NA,NA,NA,NA
196,2020-02-09,40,1,Q1,NA,NA,NA,NA
197,2020-02-09,40,2,Q2,NA,NA,NA,NA
198,2020-02-09,40,3,Q3,NA,NA,NA,NA
199,2020-02-09,40,4,Q4,NA,NA,NA,NA
200,2020-02-09,40,5,Q5,NA,NA,NA,NA
201,2020-02-10,41,1,Q1,NA,NA,NA,NA
202,2020-02-10,41,2,Q2,NA,NA,NA,NA
203,2020-02-10,41,3,Q3,NA,NA,NA,NA
204,2020-02-10,41,4,Q4,NA,NA,NA,NA
205,2020-02-10,41,5,Q5,NA,NA,NA,NA
206,2020-02-11,42,1,Q1,NA,NA,NA,NA
207,2020-02-11,42,2,Q2,NA,NA,NA,NA
208,2020-02-11,42,3,Q3,NA,NA,NA,NA
209,2020-02-11,42,4,Q4,NA,NA,NA,NA
210,2020-02-11,42,5,Q5,NA,NA,NA,NA
211,2020-02-12,43,1,Q1,NA,NA,NA,NA
212,2020-02-12,43,2,Q2,NA,NA,NA,NA
213,2020-02-12,43,3,Q3,NA,NA,NA,NA
214,2020-02-12,43,4,Q4,NA,NA,NA,NA
215,2020-02-12,43,5,Q5,NA,NA,NA,NA
216,2020-02-13,44,1,Q1,NA,NA,NA,NA
217,2020-02-13,44,2,Q2,NA,NA,NA,NA
218,2020-02-13,44,3,Q3,NA,NA,NA,NA
219,2020-02-13,44,4,Q4,NA,NA,NA,NA
220,2020-02-13,44,5,Q5,NA,NA,NA,NA
221,2020-02-14,45,1,Q1,NA,NA,NA,NA
222,2020-02-14,45,2,Q2,NA,NA,NA,NA
223,2020-02-14,45,3,Q3,NA,NA,NA,NA
224,2020-02-14,45,4,Q4,NA,NA,NA,NA
225,2020-02-14,45,5,Q5,NA,NA,NA,NA
226,2020-02-15,46,1,Q1,NA,NA,NA,NA
227,2020-02-15,46,2,Q2,NA,NA,NA,NA
228,2020-02-15,46,3,Q3,NA,NA,NA,NA
229,2020-02-15,46,4,Q4,NA,NA,NA,NA
230,2020-02-15,46,5,Q5,NA,NA,NA,NA
231,2020-02-16,47,1,Q1,NA,NA,NA,NA
232,2020-02-16,47,2,Q2,NA,NA,NA,NA
233,2020-02-16,47,3,Q3,NA,NA,NA,NA
234,2020-02-16,47,4,Q4,NA,NA,NA,NA
235,2020-02-16,47,5,Q5,NA,NA,NA,NA
236,2020-02-17,48,1,Q1,NA,NA,NA,NA
237,2020-02-17,48,2,Q2,NA,NA,NA,NA
238,2020-02-17,48,3,Q3,NA,NA,NA,NA
239,2020-02-17,48,4,Q4,NA,NA,NA,NA
240,2020-02-17,48,5,Q5,NA,NA,NA,NA
241,2020-02-18,49,1,Q1,NA,NA,NA,NA
242,2020-02-18,49,2,Q2,NA,NA,NA,NA
243,2020-02-18,49,3,Q3,NA,NA,NA,NA
244,2020-02-18,49,4,Q4,NA,NA,NA,NA
245,2020-02-18,49,5,Q5,NA,NA,NA,NA
246,2020-02-19,50,1,Q1,NA,NA,NA,NA
247,2020-02-19,50,2,Q2,NA,NA,NA,NA
248,2020-02-19,50,3,Q3,NA,NA,NA,NA
249,2020-02-19,50,4,Q4,NA,NA,NA,NA
250,2020-02-19,50,5,Q5,NA,NA,NA,NA
251,2020-02-20,51,1,Q1,NA,NA,NA,NA
252,2020-02-20,51,2,Q2,NA,NA,NA,NA
253,2020-02-20,51,3,Q3,NA,NA,NA,NA
254,2020-02-20,51,4,Q4,NA,NA,NA,NA
255,2020-02-20,51,5,Q5,NA,NA,NA,NA
256,2020-02-21,52,1,Q1,NA,NA,NA,NA
257,2020-02-21,52,2,Q2,NA,NA,NA,NA
258,2020-02-21,52,3,Q3,NA,NA,NA,NA
259,2020-02-21,52,4,Q4,NA,NA,NA,NA
260,2020-02-21,52,5,Q5,NA,NA,NA,NA
261,2020-02-22,53,1,Q1,NA,NA,NA,NA
262,2020-02-22,53,2,Q2,NA,NA,NA,NA
263,2020-02-22,53,3,Q3,NA,NA,NA,NA
264,2020-02-22,53,4,Q4,NA,NA,NA,NA
265,2020-02-22,53,5,Q5,NA,NA,NA,NA
266,2020-02-23,54,1,Q1,NA,NA,NA,NA
267,2020-02-23,54,2,Q2,NA,NA,NA,NA
268,2020-02-23,54,3,Q3,NA,NA,NA,NA
269,2020-02-23,54,4,Q4,NA,NA,NA,NA
270,2020-02-23,54,5,Q5,NA,NA,NA,NA
271,2020-02-24,55,1,Q1,NA,NA,NA,NA
272,2020-02-24,55,2,Q2,NA,NA,NA,NA
273,2020-02-24,55,3,Q3,NA,NA,NA,NA
274,2020-02-24,55,4,Q4,NA,NA,NA,NA
275,2020-02-24,55,5,Q5,NA,NA,NA,NA
276,2020-02-25,56,1,Q1,NA,NA,NA,NA
277,2020-02-25,56,2,Q2,NA,NA,NA,NA
278,2020-02-25,56,3,Q3,NA,NA,NA,NA
279,2020-02-25,56,4,Q4,NA,NA,NA,NA
280,2020-02-25,56,5,Q5,NA,NA,NA,NA
281,2020-02-26,57,1,Q1,NA,NA,NA,NA
282,2020-02-26,57,2,Q2,NA,NA,NA,NA
283,2020-02-26,57,3,Q3,NA,NA,NA,NA
284,2020-02-26,57,4,Q4,NA,NA,NA,NA
285,2020-02-26,57,5,Q5,NA,NA,NA,NA
286,2020-02-27,58,1,Q1,NA,NA,NA,NA
287,2020-02-27,58,2,Q2,NA,NA,NA,NA
288,2020-02-27,58,3,Q3,NA,NA,NA,NA
289,2020-02-27,58,4,Q4,NA,NA,NA,NA
290,2020-02-27,58,5,Q5,NA,NA,NA,NA
291,2020-02-28,59,1,Q1,NA,NA,NA,NA
292,2020-02-28,59,2,Q2,NA,NA,NA,NA
293,2020-02-28,59,3,Q3,NA,NA,NA,NA
294,2020-02-28,59,4,Q4,NA,NA,NA,NA
295,2020-02-28,59,5,Q5,NA,NA,NA,NA
296,2020-02-29,60,1,Q1,NA,NA,NA,NA
297,2020-02-29,60,2,Q2,NA,NA,NA,NA
