"","week_id","lvl_SES","lvl_MBG","q2","q1","q3","level","level.r","date"
"119",30,3,1,0.99252556524749,0.981858789112957,1.00699030873585,"3.1","Type 3: High % - Low %",2020-12-21
"120",30,3,3,0.870005103969928,0.861229111079035,0.879291701736447,"3.3","Type 1: High % - High %",2020-12-21
"121",31,1,1,1,1,1,"1.1","Type 4: Low % - Low %",2020-12-28
"122",31,1,3,0.834006511393033,0.820609253628443,0.845474021475275,"1.3","Type 2: Low % - High %",2020-12-28
"123",31,3,1,1.03270442682588,1.01724463451485,1.0427242367573,"3.1","Type 3: High % - Low %",2020-12-28
"124",31,3,3,0.861607763466547,0.85077772572941,0.871310838995718,"3.3","Type 1: High % - High %",2020-12-28
"125",32,1,1,1,1,1,"1.1","Type 4: Low % - Low %",2021-01-04
"126",32,1,3,0.8386561636411,0.825373298317074,0.851436129787821,"1.3","Type 2: Low % - High %",2021-01-04
"127",32,3,1,1.05927653808627,1.04154943976797,1.07453689326302,"3.1","Type 3: High % - Low %",2021-01-04
"128",32,3,3,0.888935677008961,0.876998442786689,0.897520612481043,"3.3","Type 1: High % - High %",2021-01-04
"129",33,1,1,1,1,1,"1.1","Type 4: Low % - Low %",2021-01-11
"130",33,1,3,0.840670460386201,0.827180518809961,0.851715332291348,"1.3","Type 2: Low % - High %",2021-01-11
"131",33,3,1,1.07701225803594,1.05974391221769,1.09328597267438,"3.1","Type 3: High % - Low %",2021-01-11
"132",33,3,3,0.90727808275656,0.894890173505505,0.918017300097692,"3.3","Type 1: High % - High %",2021-01-11
"133",34,1,1,1,1,1,"1.1","Type 4: Low % - Low %",2021-01-18
"134",34,1,3,0.859624604497262,0.847390200523135,0.875687991957632,"1.3","Type 2: Low % - High %",2021-01-18
"135",34,3,1,1.0592998637722,1.04251520573958,1.07498550310679,"3.1","Type 3: High % - Low %",2021-01-18
"136",34,3,3,0.911398718658347,0.89932571014947,0.920650443384074,"3.3","Type 1: High % - High %",2021-01-18
"137",35,1,1,1,1,1,"1.1","Type 4: Low % - Low %",2021-01-25
"138",35,1,3,0.871548165285634,0.855689642084344,0.887980484658627,"1.3","Type 2: Low % - High %",2021-01-25
"139",35,3,1,1.06593412162335,1.04511155658913,1.08271127202898,"3.1","Type 3: High % - Low %",2021-01-25
"140",35,3,3,0.929584280143817,0.916014148048972,0.942784973079222,"3.3","Type 1: High % - High %",2021-01-25
"141",36,1,1,1,1,1,"1.1","Type 4: Low % - Low %",2021-02-01
"142",36,1,3,0.86989369812483,0.850238811607986,0.886560857607636,"1.3","Type 2: Low % - High %",2021-02-01
"143",36,3,1,1.08086934170249,1.05988731720373,1.10311713066841,"3.1","Type 3: High % - Low %",2021-02-01
"144",36,3,3,0.940425198570062,0.926395653127223,0.952796820448255,"3.3","Type 1: High % - High %",2021-02-01
"145",37,1,1,1,1,1,"1.1","Type 4: Low % - Low %",2021-02-08
"146",37,1,3,0.876786889530907,0.862858023915163,0.890864807735848,"1.3","Type 2: Low % - High %",2021-02-08
"147",37,3,1,1.07344233535615,1.05252563080281,1.08964629313108,"3.1","Type 3: High % - Low %",2021-02-08
"148",37,3,3,0.942850402290336,0.922441463068416,0.957895132974638,"3.3","Type 1: High % - High %",2021-02-08
"149",38,1,1,1,1,1,"1.1","Type 4: Low % - Low %",2021-02-15
"150",38,1,3,0.887636948899236,0.872937082201416,0.902454978755629,"1.3","Type 2: Low % - High %",2021-02-15
"151",38,3,1,1.06459871403177,1.0452295567499,1.08675046496212,"3.1","Type 3: High % - Low %",2021-02-15
"152",38,3,3,0.945217579859486,0.932107456122381,0.959118201563031,"3.3","Type 1: High % - High %",2021-02-15
"153",39,1,1,1,1,1,"1.1","Type 4: Low % - Low %",2021-02-22
"154",39,1,3,0.90182705794181,0.884693106465965,0.916270439246831,"1.3","Type 2: Low % - High %",2021-02-22
"155",39,3,1,1.03296958417142,1.01263575436132,1.051868746118,"3.1","Type 3: High % - Low %",2021-02-22
"156",39,3,3,0.931158998460674,0.917584336375138,0.945012626139991,"3.3","Type 1: High % - High %",2021-02-22
"157",40,1,1,1,1,1,"1.1","Type 4: Low % - Low %",2021-03-01
"158",40,1,3,0.924038963642962,0.909346395342535,0.934581830072198,"1.3","Type 2: Low % - High %",2021-03-01
"159",40,3,1,1.02320599409635,1.00779663502165,1.04039660873869,"3.1","Type 3: High % - Low %",2021-03-01
"160",40,3,3,0.944750948457594,0.933746917954197,0.957347697576457,"3.3","Type 1: High % - High %",2021-03-01
"161",41,1,1,1,1,1,"1.1","Type 4: Low % - Low %",2021-03-08
"162",41,1,3,0.938053042893735,0.924107316556804,0.952589280720868,"1.3","Type 2: Low % - High %",2021-03-08
"163",41,3,1,1.01223208672094,0.995667893961385,1.02830395622884,"3.1","Type 3: High % - Low %",2021-03-08
"164",41,3,3,0.949033228284502,0.937119385336209,0.964786816430784,"3.3","Type 1: High % - High %",2021-03-08
"165",42,1,1,1,1,1,"1.1","Type 4: Low % - Low %",2021-03-15
"166",42,1,3,0.954948327784843,0.942860313896145,0.970040167666768,"1.3","Type 2: Low % - High %",2021-03-15
"167",42,3,1,0.991929861964803,0.973942741612188,1.00631174087864,"3.1","Type 3: High % - Low %",2021-03-15
"168",42,3,3,0.948321723996114,0.935741715389927,0.956987579533115,"3.3","Type 1: High % - High %",2021-03-15
"169",43,1,1,1,1,1,"1.1","Type 4: Low % - Low %",2021-03-22
"170",43,1,3,0.95281669934811,0.937079528873868,0.964169279203541,"1.3","Type 2: Low % - High %",2021-03-22
"171",43,3,1,1.00267654728282,0.990861828695462,1.02061241843616,"3.1","Type 3: High % - Low %",2021-03-22
"172",43,3,3,0.955632425623798,0.946341565430155,0.964638613178255,"3.3","Type 1: High % - High %",2021-03-22
"173",44,1,1,1,1,1,"1.1","Type 4: Low % - Low %",2021-03-29
"174",44,1,3,0.968309260579858,0.953575743755832,0.981109267194275,"1.3","Type 2: Low % - High %",2021-03-29
"175",44,3,1,1.00915308389095,0.996428793986072,1.02551827734471,"3.1","Type 3: High % - Low %",2021-03-29
"176",44,3,3,0.976899321536998,0.967400446260951,0.990929550855644,"3.3","Type 1: High % - High %",2021-03-29
"177",45,1,1,1,1,1,"1.1","Type 4: Low % - Low %",2021-04-05
"178",45,1,3,0.953631044500348,0.940203272902948,0.968412690099941,"1.3","Type 2: Low % - High %",2021-04-05
"179",45,3,1,1.02831171078551,1.01270724420576,1.04276035105589,"3.1","Type 3: High % - Low %",2021-04-05
"180",45,3,3,0.980813013211674,0.967672068387389,0.993388111784857,"3.3","Type 1: High % - High %",2021-04-05
"181",46,1,1,1,1,1,"1.1","Type 4: Low % - Low %",2021-04-12
"182",46,1,3,0.960218124813334,0.948123034976198,0.975915532550258,"1.3","Type 2: Low % - High %",2021-04-12
"183",46,3,1,1.02610021368472,1.00970696941177,1.04254937037773,"3.1","Type 3: High % - Low %",2021-04-12
